FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202001","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","4.23","43.9","-50.89","-90.56","10503.23","0.68","0.76","0.24","0.24","15.24","21.77","4.84","4.02","3.37","0.96","1.31","76.20","2589.65","3118.71","1613.47","512267592","12/22/2020 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202002","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","5.96","44.48","-74.8","-113.32","10294.64","0.68","0.76","-0.88","-0.64","13.73","17.75","4.38","3.32","3.27","0.96","1.13","75.50","2522.71","3085.77","1562.15","512267592","12/22/2020 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202003","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","9.78","48.26","-126.74","-165.22","9445.12","0.68","0.76","-6.61","-7.21","5.81","9.48","1.90","1.83","4.49","0.84","0.21","73.50","2504.18","3156.71","1461.65","512267592","12/22/2020 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202004","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","6.07","23.72","-35.47","-53.12","9771.96","0.68","0.76","4.10","-3.41","9.13","12.98","2.96","2.47","4.81","0.72","0.43","73.90","2526.80","3144.36","1511.87","512267592","12/22/2020 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202005","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","7.1","27.88","-7.25","-28.03","9841.28","0.68","0.76","1.05","-2.39","9.35","13.51","3.02","2.57","4.82","0.84","0.48","74","2530.79","3128.64","1550.99","512267592","12/22/2020 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202006","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","11.44","41","-37.37","-66.93","9682.19","0.68","0.76","-0.85","-3.22","8.74","14.87","2.83","2.81","4.74","0.72","0.46","74.50","2515.02","3152.67","1513.81","512267592","12/22/2020 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202007","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","8.07","49.21","-69.25","-110.39","9716.16","0.68","0.76","1.54","-1.73","9.25","15.12","2.99","2.86","4.75","0.72","0.52","74.40","2578.42","3165.37","1563.10","512267592","12/22/2020 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202008","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","4.05","39.17","-59.88","-95","9779.50","0.68","0.76","1.75","-0.01","10.77","19.10","3.47","3.56","4.72","0.72","0.66","74.60","2529.24","3196.32","1628.96","512267592","12/22/2020 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202009","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","10.86","40.3","-51.01","-80.45","9608.76","0.68","0.76","-0.95","-0.96","9.34","20.33","3.02","3.77","4.64","0.84","0.63","74.60","2476.43","3132.84","1619.98","512267592","12/22/2020 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202010","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","9.71","27.43","-59.62","-77.34","9515.44","0.68","0.76","0.07","-0.89","8.62","17.22","2.79","3.23","4.51","0.60","0.58","74.30","2467.74","3105.37","1574.62","512267592","12/22/2020 12:00:00 AM"
